data,valor,lei,reajuste
07/1994,65,Lei 8.880/1994,–
09/1994,70,MP 598/1994,"8,04"
05/1995,100,Lei 9.032/1995,"42,86"
05/1996,112,Lei 9.971/2000,12
05/1997,120,Lei 9.971/2000,"7,14"
05/1998,130,Lei 9.971/2000,"8,33"
05/1999,136,Lei 9.971/2000,"4,62"
06/2000,151,Lei 9.971/2000,"11,03"
06/2001,180,MP 2.194-6/2001,"19,21"
06/2002,200,Lei 10.525/2002,"11,11"
06/2003,240,Lei 10.699/2003,20
05/2004,260,Lei 10.888/2004,"8,33"
05/2005,300,Lei 11.164/2005,"15,38"
04/2006,350,Lei 11.321/2006,"16,67"
04/2007,380,Lei 11.498/2007,"8,57"
03/2008,415,Lei 11.709/2008,"9,21"
02/2009,465,Lei 11.944/2009,"12,05"
01/2010,510,Lei 12.255/2010,"9,68"
01/2011,540,MP 516/2010,"5,88"
03/2011,545,Lei 12.382/2011,"0,93"
01/2012,622,Decreto 7.655/2011,"14,13"
01/2013,678,Decreto 7.872/2012,9
01/2014,724,Decreto 8.166/2013,"6,78"
01/2015,788,Decreto 8.381/2014,"8,84"
01/2016,880,Decreto 8.618/2015,"11,68"
01/2017,937,Lei 13.152/2015,"6,48"
01/2018,954,Decreto 9.255/2017,"1,81"
01/2019,998,Decreto 9.661/2019,"4,61"
01/2020,1039,MP 916/2019,"4,1"
02/2020,1045,MP 919/2020,"0,58"
01/2021,1100,MP 1021/2020,"5,26"
01/2022,1212,MP 1091/2021,"10,16"
01/2023,1302,MP 1.143/2022,"7,43"
05/2023,1320,MP 1.172/2023,"8,90 (rel. 2022)"
01/2024,1412,Decreto 11.864/2024,"6,97"
01/2025,1518,Decreto 12.342/2024,"7,95"
